candidate_id,rank,score,reasoning
CAND_0046525,1,171.03,"Senior Machine Learning Engineer at Genpact AI with 6.1 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a logistics fit for the Pune/Noida hybrid setup, a strong recruiter-response history."
CAND_0077337,2,169.93,"Staff Machine Learning Engineer at Paytm with 7.0 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a logistics fit for the Pune/Noida hybrid setup, a strong recruiter-response history."
CAND_0002025,3,169.87,"Senior AI Engineer at Apple with 5.9 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows available within a 30-day notice period, a strong recruiter-response history."
CAND_0064326,4,169.34,"Search Engineer at Sarvam AI with 7.6 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a logistics fit for the Pune/Noida hybrid setup, a strong recruiter-response history."
CAND_0018499,5,168.54,"Senior Machine Learning Engineer at Zomato with 7.2 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows available within a 30-day notice period, a logistics fit for the Pune/Noida hybrid setup."
CAND_0068811,6,168.36,"Applied ML Engineer at Freshworks with 8.0 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows available within a 30-day notice period, a logistics fit for the Pune/Noida hybrid setup."
CAND_0081846,7,168.06,"Lead AI Engineer at Razorpay with 6.7 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows available within a 30-day notice period, a logistics fit for the Pune/Noida hybrid setup."
CAND_0096142,8,165.55,"Applied ML Engineer at upGrad with 5.0 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a logistics fit for the Pune/Noida hybrid setup, a strong recruiter-response history."
CAND_0086022,9,165.4,"Senior Applied Scientist at Sarvam AI with 5.3 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows available within a 30-day notice period, a logistics fit for the Pune/Noida hybrid setup."
CAND_0018722,10,165.06,"Recommendation Systems Engineer at Saarthi.ai with 6.6 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a logistics fit for the Pune/Noida hybrid setup, a strong recruiter-response history."
CAND_0024466,11,164.77,"Search Engineer at PharmEasy with 5.2 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a logistics fit for the Pune/Noida hybrid setup, profile substance that closely matches the role, not just keyword overlap."
CAND_0060054,12,164.26,"AI Engineer at Mad Street Den with 6.4 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows available within a 30-day notice period, a logistics fit for the Pune/Noida hybrid setup."
CAND_0041669,13,164.19,"Recommendation Systems Engineer at CRED with 8.0 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a logistics fit for the Pune/Noida hybrid setup, a strong recruiter-response history."
CAND_0011687,14,164.15,"Senior NLP Engineer at Niramai with 7.8 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows available within a 30-day notice period, a strong recruiter-response history."
CAND_0030031,15,164.12,"AI Engineer at Microsoft with 5.7 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows available within a 30-day notice period, a strong recruiter-response history."
CAND_0055905,16,163.98,"Senior Machine Learning Engineer at Flipkart with 8.1 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows available within a 30-day notice period, a strong recruiter-response history."
CAND_0069905,17,163.39,"Applied ML Engineer at Sarvam AI with 6.6 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a logistics fit for the Pune/Noida hybrid setup, a strong recruiter-response history."
CAND_0042506,18,162.31,"Search Engineer at Verloop.io with 4.2 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows available within a 30-day notice period, a logistics fit for the Pune/Noida hybrid setup."
CAND_0046064,19,162.05,"Senior NLP Engineer at Salesforce with 8.9 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows available within a 30-day notice period, a strong recruiter-response history."
CAND_0018549,20,161.95,"Recommendation Systems Engineer at Uber with 6.8 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a logistics fit for the Pune/Noida hybrid setup, a strong recruiter-response history."
CAND_0079387,21,161.66,"AI Engineer at Microsoft with 6.9 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows available within a 30-day notice period, a strong recruiter-response history."
CAND_0098846,22,161.55,"AI Engineer at upGrad with 7.6 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a logistics fit for the Pune/Noida hybrid setup, a strong recruiter-response history."
CAND_0045250,23,161.45,"Applied ML Engineer at Rephrase.ai with 6.6 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows available within a 30-day notice period, a logistics fit for the Pune/Noida hybrid setup."
CAND_0031593,24,161.21,"Search Engineer at Genpact AI with 7.8 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a logistics fit for the Pune/Noida hybrid setup, a strong recruiter-response history."
CAND_0006557,25,161.19,"NLP Engineer at Paytm with 7.9 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a logistics fit for the Pune/Noida hybrid setup, a strong recruiter-response history."
CAND_0009691,26,161.16,"Applied ML Engineer at LinkedIn with 6.2 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a logistics fit for the Pune/Noida hybrid setup, a strong recruiter-response history."
CAND_0011162,27,160.88,"Recommendation Systems Engineer at upGrad with 5.8 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a logistics fit for the Pune/Noida hybrid setup, a strong recruiter-response history."
CAND_0040117,28,160.83,"Recommendation Systems Engineer at PhonePe with 6.5 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows available within a 30-day notice period, a strong recruiter-response history."
CAND_0058575,29,160.67,"AI Engineer at Krutrim with 5.8 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a logistics fit for the Pune/Noida hybrid setup, a strong recruiter-response history."
CAND_0017960,30,160.6,"Recommendation Systems Engineer at Nykaa with 7.7 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a logistics fit for the Pune/Noida hybrid setup, a strong recruiter-response history."
CAND_0005649,31,160.54,"Senior Data Scientist at Sarvam AI with 7.4 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a logistics fit for the Pune/Noida hybrid setup, a strong recruiter-response history."
CAND_0050876,32,160.46,"Applied ML Engineer at Freshworks with 6.0 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a strong recruiter-response history, profile substance that closely matches the role, not just keyword overlap."
CAND_0086151,33,160.22,"Recommendation Systems Engineer at Wysa with 7.7 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a logistics fit for the Pune/Noida hybrid setup, a strong recruiter-response history."
CAND_0009024,34,160.11,"Search Engineer at Google with 5.2 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows available within a 30-day notice period, profile substance that closely matches the role, not just keyword overlap."
CAND_0000031,35,160.04,"Recommendation Systems Engineer at Swiggy with 6.0 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a logistics fit for the Pune/Noida hybrid setup, a strong recruiter-response history."
CAND_0066376,36,159.95,"Applied ML Engineer at Dream11 with 5.7 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a logistics fit for the Pune/Noida hybrid setup, a strong recruiter-response history."
CAND_0052682,37,159.69,"NLP Engineer at Aganitha with 6.6 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows available within a 30-day notice period, a strong recruiter-response history."
CAND_0088025,38,159.66,"Staff Machine Learning Engineer at Yellow.ai with 8.6 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a strong recruiter-response history, profile substance that closely matches the role, not just keyword overlap."
CAND_0083307,39,159.63,"Search Engineer at CRED with 7.8 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a strong recruiter-response history, profile substance that closely matches the role, not just keyword overlap."
CAND_0075249,40,158.92,"Applied ML Engineer at Zomato with 6.2 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a strong recruiter-response history, profile substance that closely matches the role, not just keyword overlap."
CAND_0091909,41,158.82,"Machine Learning Engineer at Rephrase.ai with 6.9 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a logistics fit for the Pune/Noida hybrid setup, a strong recruiter-response history."
CAND_0014440,42,158.62,"Recommendation Systems Engineer at CRED with 6.4 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a strong recruiter-response history, profile substance that closely matches the role, not just keyword overlap."
CAND_0005260,43,158.47,"Senior NLP Engineer at Netflix with 5.2 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a logistics fit for the Pune/Noida hybrid setup, a strong recruiter-response history."
CAND_0058688,44,157.78,"AI Engineer at Vedantu with 6.7 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows available within a 30-day notice period, a logistics fit for the Pune/Noida hybrid setup."
CAND_0075574,45,157.63,"Machine Learning Engineer at Haptik with 5.7 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a logistics fit for the Pune/Noida hybrid setup, a strong recruiter-response history."
CAND_0099806,46,157.63,"AI Engineer at Mad Street Den with 4.6 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows available within a 30-day notice period, a logistics fit for the Pune/Noida hybrid setup."
CAND_0044222,47,157.5,"AI Engineer at PolicyBazaar with 7.7 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a strong recruiter-response history, profile substance that closely matches the role, not just keyword overlap."
CAND_0099401,48,157.41,"NLP Engineer at Dream11 with 7.7 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a logistics fit for the Pune/Noida hybrid setup."
CAND_0071974,49,157.38,"Senior AI Engineer at Netflix with 7.8 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a strong recruiter-response history, profile substance that closely matches the role, not just keyword overlap."
CAND_0094759,50,157.07,"Lead AI Engineer at Meta with 8.6 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows available within a 30-day notice period, a logistics fit for the Pune/Noida hybrid setup."
CAND_0087630,51,156.87,"AI Engineer at Vedantu with 7.2 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows available within a 30-day notice period, a logistics fit for the Pune/Noida hybrid setup."
CAND_0080766,52,156.78,"Staff Machine Learning Engineer at Salesforce with 8.8 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows available within a 30-day notice period, a logistics fit for the Pune/Noida hybrid setup."
CAND_0041568,53,156.74,"Search Engineer at Haptik with 5.2 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a strong recruiter-response history, profile substance that closely matches the role, not just keyword overlap."
CAND_0042029,54,155.9,"Senior Data Scientist at Flipkart with 6.5 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a logistics fit for the Pune/Noida hybrid setup, a strong recruiter-response history."
CAND_0057563,55,155.67,"NLP Engineer at Locobuzz with 6.8 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a logistics fit for the Pune/Noida hybrid setup, a strong recruiter-response history."
CAND_0078002,56,155.31,"Machine Learning Engineer at Meta with 6.3 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a strong recruiter-response history."
CAND_0053591,57,155.25,"AI Engineer at Ola with 5.3 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a strong recruiter-response history."
CAND_0095528,58,154.86,"Senior Data Scientist at Netflix with 5.3 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a strong recruiter-response history, profile substance that closely matches the role, not just keyword overlap."
CAND_0010257,59,154.83,"Senior Data Scientist at Google with 6.5 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a logistics fit for the Pune/Noida hybrid setup, a strong recruiter-response history."
CAND_0008425,60,154.78,"Senior NLP Engineer at Ola with 7.8 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a strong recruiter-response history."
CAND_0081053,61,154.37,"NLP Engineer at Glance with 5.4 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a logistics fit for the Pune/Noida hybrid setup, a strong recruiter-response history."
CAND_0052328,62,153.97,"Recommendation Systems Engineer at Amazon with 6.5 years of experience, bringing hands-on production experience with vector databases or hybrid search and production embeddings-based retrieval experience. Also shows available within a 30-day notice period, a logistics fit for the Pune/Noida hybrid setup."
CAND_0062247,63,153.92,"AI Engineer at Google with 7.3 years of experience, bringing hands-on production experience with vector databases or hybrid search and production embeddings-based retrieval experience. Also shows available within a 30-day notice period, a logistics fit for the Pune/Noida hybrid setup."
CAND_0044855,64,153.86,"Senior Data Scientist at Flipkart with 6.6 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a logistics fit for the Pune/Noida hybrid setup, a strong recruiter-response history."
CAND_0047721,65,153.65,"Senior Data Scientist at Microsoft with 7.0 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a logistics fit for the Pune/Noida hybrid setup, profile substance that closely matches the role, not just keyword overlap."
CAND_0015528,66,153.59,"Applied ML Engineer at Krutrim with 7.4 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows available within a 30-day notice period, a strong recruiter-response history."
CAND_0037000,67,152.92,"Search Engineer at Unacademy with 2.7 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows available within a 30-day notice period, a logistics fit for the Pune/Noida hybrid setup."
CAND_0011432,68,152.91,"Senior Data Scientist at Amazon with 7.6 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a strong recruiter-response history."
CAND_0019480,69,152.79,"NLP Engineer at Meesho with 2.8 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a logistics fit for the Pune/Noida hybrid setup, a strong recruiter-response history."
CAND_0026532,70,152.62,"Recommendation Systems Engineer at Zomato with 4.8 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a logistics fit for the Pune/Noida hybrid setup, a strong recruiter-response history."
CAND_0033861,71,152.53,"Senior NLP Engineer at Mad Street Den with 8.0 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows available within a 30-day notice period, profile substance that closely matches the role, not just keyword overlap."
CAND_0050454,72,152.49,"AI Engineer at Rephrase.ai with 6.8 years of experience, bringing hands-on production experience with vector databases or hybrid search and production embeddings-based retrieval experience. Also shows available within a 30-day notice period, a logistics fit for the Pune/Noida hybrid setup."
CAND_0081686,73,152.39,"Search Engineer at Netflix with 6.0 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a strong recruiter-response history."
CAND_0041610,74,151.94,"Recommendation Systems Engineer at Zoho with 6.7 years of experience, bringing hands-on production experience with vector databases or hybrid search and production embeddings-based retrieval experience. Also shows available within a 30-day notice period, a logistics fit for the Pune/Noida hybrid setup."
CAND_0061655,75,151.7,"Machine Learning Engineer at Krutrim with 4.6 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows available within a 30-day notice period, a strong recruiter-response history."
CAND_0065195,76,151.7,"Search Engineer at CRED with 5.1 years of experience, bringing hands-on production experience with vector databases or hybrid search and production embeddings-based retrieval experience. Also shows a strong recruiter-response history, profile substance that closely matches the role, not just keyword overlap."
CAND_0077285,77,151.67,"Recommendation Systems Engineer at Nykaa with 5.5 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a strong recruiter-response history."
CAND_0089552,78,151.44,"Machine Learning Engineer at Netflix with 6.0 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a logistics fit for the Pune/Noida hybrid setup."
CAND_0061265,79,151.11,"Recommendation Systems Engineer at Zoho with 6.6 years of experience, bringing hands-on production experience with vector databases or hybrid search and production embeddings-based retrieval experience. Also shows a logistics fit for the Pune/Noida hybrid setup, a strong recruiter-response history."
CAND_0030953,80,151.1,"Search Engineer at Nykaa with 7.8 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a strong recruiter-response history, profile substance that closely matches the role, not just keyword overlap."
CAND_0007009,81,150.72,"Recommendation Systems Engineer at Wysa with 7.9 years of experience, bringing hands-on production experience with vector databases or hybrid search and production embeddings-based retrieval experience. Also shows available within a 30-day notice period, a logistics fit for the Pune/Noida hybrid setup."
CAND_0030348,82,150.57,"Machine Learning Engineer at BYJU'S with 4.5 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a logistics fit for the Pune/Noida hybrid setup, a strong recruiter-response history."
CAND_0079064,83,150.44,"Senior Data Scientist at Niramai with 5.2 years of experience, bringing hands-on production experience with vector databases or hybrid search and production embeddings-based retrieval experience. Also shows a logistics fit for the Pune/Noida hybrid setup, a strong recruiter-response history."
CAND_0070202,84,150.3,"Machine Learning Engineer at BYJU'S with 5.1 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a strong recruiter-response history, profile substance that closely matches the role, not just keyword overlap."
CAND_0037566,85,149.85,"Machine Learning Engineer at LinkedIn with 6.9 years of experience, bringing hands-on production experience with vector databases or hybrid search and production embeddings-based retrieval experience. Also shows available within a 30-day notice period, a logistics fit for the Pune/Noida hybrid setup."
CAND_0081852,86,149.85,"Senior Data Scientist at Mad Street Den with 5.9 years of experience, bringing hands-on production experience with vector databases or hybrid search and production embeddings-based retrieval experience. Also shows a logistics fit for the Pune/Noida hybrid setup, profile substance that closely matches the role, not just keyword overlap."
CAND_0074225,87,149.83,"Machine Learning Engineer at Unacademy with 4.3 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a logistics fit for the Pune/Noida hybrid setup, a strong recruiter-response history."
CAND_0060072,88,149.67,"Staff Machine Learning Engineer at Amazon with 5.7 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a logistics fit for the Pune/Noida hybrid setup, profile substance that closely matches the role, not just keyword overlap."
CAND_0079284,89,149.32,"Machine Learning Engineer at Google with 4.9 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows available within a 30-day notice period, a logistics fit for the Pune/Noida hybrid setup."
CAND_0007412,90,149.08,"Applied ML Engineer at Zoho with 7.4 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a logistics fit for the Pune/Noida hybrid setup, a strong recruiter-response history."
CAND_0041611,91,148.87,"Staff Machine Learning Engineer at Locobuzz with 6.4 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows available within a 30-day notice period, a logistics fit for the Pune/Noida hybrid setup."
CAND_0013536,92,147.93,"Applied ML Engineer at Haptik with 14.1 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a strong recruiter-response history, profile substance that closely matches the role, not just keyword overlap."
CAND_0001610,93,147.82,"Machine Learning Engineer at Dream11 with 3.0 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a logistics fit for the Pune/Noida hybrid setup, a strong recruiter-response history."
CAND_0049538,94,147.59,"Applied ML Engineer at Saarthi.ai with 5.8 years of experience, bringing hands-on production experience with vector databases or hybrid search and production embeddings-based retrieval experience. Also shows available within a 30-day notice period, a strong recruiter-response history."
CAND_0054123,95,147.57,"Applied ML Engineer at Meta with 4.7 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a logistics fit for the Pune/Noida hybrid setup, a strong recruiter-response history."
CAND_0064904,96,147.55,"AI Engineer at LinkedIn with 4.9 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a logistics fit for the Pune/Noida hybrid setup, a strong recruiter-response history."
CAND_0049896,97,147.44,"Search Engineer at Unacademy with 7.3 years of experience, bringing experience designing ranking evaluation frameworks (NDCG/MRR/MAP) and production embeddings-based retrieval experience. Also shows a logistics fit for the Pune/Noida hybrid setup, profile substance that closely matches the role, not just keyword overlap."
CAND_0012957,98,147.3,"Search Engineer at Razorpay with 4.9 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a logistics fit for the Pune/Noida hybrid setup, a strong recruiter-response history."
CAND_0096172,99,146.84,"NLP Engineer at Krutrim with 5.2 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP)."
CAND_0028793,100,146.76,"Search Engineer at Google with 7.2 years of experience, bringing experience designing ranking evaluation frameworks (NDCG/MRR/MAP) and production embeddings-based retrieval experience. Also shows a logistics fit for the Pune/Noida hybrid setup, a strong recruiter-response history."
